Home,Away,Season,Round,Day,Result,bookmaker_forecast#home,bookmaker_forecast#draw,bookmaker_forecast#away,true_forecast#home,true_forecast#draw,true_forecast#away,player_forecast_-0.6_0.6_0.006#home,player_forecast_-0.6_0.6_0.006#draw,player_forecast_-0.6_0.6_0.006#away,true_rating#Home,true_rating#Away,bm#odds#0,bm#odds#1,bm#odds#2,rps#metric,betting_returns#metric,loglikelihood#metric
9,0,0,0,1,away,0.7251915491961773,0.17236466294583364,0.10244378785798902,0.661584103354115,0.20491599867297786,0.1334998979729071,0.5915463299045518,0.23628880883522677,0.17216486126022137,932.2570009074797,770.5300820225228,1.3099987183427697,5.5115705491127365,9.273378306910338,0.5176190386779266,"[(-0.0, -0.0), (-1.0, 0.12940898332800943), (8.273378306910338, 0.23799505783670005)]",-1
9,0,1,0,1,draw,0.6812430912205172,0.19523470387787245,0.12352220490161042,0.6128932859036701,0.2272763020880018,0.1598304120083281,0.5397883022632102,0.2558885651056724,0.2043231326311174,902.8023045992588,776.2205656395414,1.3945095550223887,4.865938181739785,7.690924888822271,0.16655967689419598,"[(-0.0, -0.0), (3.865938181739785, 0.10591243613463353), (-1.0, 0.2292436937055684)]",-1
9,0,2,0,1,home,0.7422440665916206,0.16306558611202382,0.0946903472963556,0.6808465605166323,0.1954334666303254,0.12371997285304226,0.6124600978513526,0.227464207092359,0.16007569505628846,930.3784260541352,754.1009298620055,1.2799024509045833,5.8258767079607034,10.03270161241201,0.08790570195256853,"[(0.0, -0.0), (-1.0, 0.13857128119762807), (-1.0, 0.24124557113028722)]",-1
9,0,3,0,1,draw,0.7383541299269364,0.16520675443812197,0.09643911563494165,0.6764339653381908,0.19763574240663911,0.12593029225517016,0.6076468653822067,0.2295382879896843,0.16281484662810902,862.8169772900878,689.9117086516947,1.2866454747046745,5.7503702147712215,9.850774695986507,0.19787169364567814,"[(-0.0, -0.0), (4.7503702147712215, 0.13647868650933526), (-1.0, 0.24051093640541588)]",-1
9,0,4,0,1,home,0.7484282168932009,0.15963784931107383,0.09193393379572525,0.6878843483369623,0.1918849105223506,0.12023074114068702,0.6201646005261536,0.22409203001395753,0.1557433694598888,875.3485293814089,693.6407080608408,1.2693268085796436,5.950969673544079,10.333507561102243,0.08426546391208795,"[(0.0, -0.0), (-1.0, 0.14190128332922747), (-1.0, 0.24240527265421585)]",-1
9,0,5,0,1,draw,0.782622225976686,0.14017779583857617,0.07719997818473787,0.7273092459055073,0.1712222556387613,0.10146849845573135,0.6639648347721293,0.20376264672639668,0.132272518501474,892.5920100172048,679.0897807688187,1.2138679026326298,6.777107560558211,12.305702959224558,0.22917266048235188,"[(-0.0, -0.0), (5.777107560558211, 0.1603916432252801), (-1.0, 0.24864120171476567)]",-1
9,0,6,0,1,home,0.7621340166011656,0.15193919205113343,0.08592679134770086,0.7035822472245294,0.18381384296563785,0.11260390980983277,0.6374734682111338,0.2162882770842572,0.14623825470460902,876.3006414000836,682.2314755807369,1.2464999321728831,6.2525013275066526,11.05592313060831,0.07640555669495695,"[(0.0, -0.0), (-1.0, 0.14929629715674997), (-1.0, 0.24494017106346222)]",-1
9,0,7,0,1,home,0.8083307820541701,0.12501144637780942,0.06665777156802051,0.7575327820246069,0.15453919061665744,0.08792802735873563,0.6982967622468974,0.1865550496146376,0.11514818813846502,904.7362177745233,664.8695018721106,1.175261441344363,7.599304123951268,14.251901581056881,0.052141974451138245,"[(0.0, -0.0), (-1.0, 0.17439030856525606), (-1.0, 0.253141592133177)]",-1
9,0,8,0,1,home,0.7863395747325997,0.13801234289592085,0.07564808237147938,0.7316481568171956,0.1688705008366448,0.09948134234615959,0.6688527456542614,0.20137803122904685,0.12976922311669176,928.5204609776712,711.353665786912,1.2081294526261812,6.883442307159605,12.558150454295802,0.06324927766451549,"[(0.0, -0.0), (-1.0, 0.1624103498901921), (-1.0, 0.24930166457838032)]",-1
9,0,9,0,1,home,0.7511563210933645,0.15811655477602263,0.09072712413061282,0.6909979352805595,0.19030102786429365,0.11870103685514688,0.6235840733117157,0.22257508201713483,0.1538408446711495,885.8081030235858,701.6766235350373,1.2647167750877784,6.008226028866531,10.470959033511944,0.08267797767686626,"[(0.0, -0.0), (-1.0, 0.14337158893430413), (-1.0, 0.24291369414563446)]",-1
10,1,0,0,1,home,0.40825404311355296,0.287849678194323,0.30389627869212404,0.33823092789633846,0.2909751105284865,0.370793961575175,0.2746438156624733,0.28231096663142635,0.44304521770610034,896.906438742539,958.7710688386179,2.326982466002827,3.3003337226546043,3.126066578006507,0.36121532954447094,"[(0.0, -0.0), (-0.0, -0.0), (-1.0, 0.15912661060678368)]",-1
10,1,1,0,1,home,0.3584907575388252,0.2912908289668177,0.3502184134943571,0.2927799182066161,0.28607617034237154,0.4211439114510124,0.23470702273390343,0.26981267597092956,0.495480301295167,853.6226314916476,950.6094169493418,2.6499985844045453,3.261345382446692,2.7125929516990026,0.41558703501217786,"[(0.0, -0.0), (-0.0, -0.0), (-1.0, 0.14239200585296508)]",-1
10,1,2,0,1,draw,0.2827113340578511,0.2841232867776107,0.43316537916453823,0.22599735312773217,0.26624026910281473,0.5077623777694531,0.17783981690125572,0.24014485904524008,0.5820153240535042,813.9213212268122,969.0966555494762,3.3603180543359534,3.3436189295655483,2.193157730731619,0.18518441895428883,"[(-0.0, -0.0), (0.0, -0.0), (-1.0, 0.11360298417974479)]",-1
